"","gbifid_","family_","genus_","species_","infraspecificepithet_","taxonrank_","scientificname_","verbatimscientificname_","province_","count_","latitude_","longitude_","date_"
"833",657607784,"Apidae","Syntrichalonia","Syntrichalonia sp.","","GENUS","Syntrichalonia LaBerge, 1957","Syntrichalonia venusta caritata","California",NA,34.5,-114.733333,1995-04-12
"834",2633060851,"Apidae","Epeolus","Epeolus sp.","","UNRANKED","BOLD:AAF2273","BOLD:AAF2273","Florida",NA,27.1897,-81.3381,1995-05-13
"835",4439379887,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena prunorum||''||Cockerell","California",1,34.18134,-118.49853,1995-05-23
"836",658352449,"Apidae","Sphecodopsis","Sphecodopsis sp.","","GENUS","Sphecodopsis Bischoff, 1923","Sphecodopsis","Utah",NA,NA,NA,1995-08-18
"837",2979442495,"Halictidae","Dieunomia","Dieunomia sp.","","GENUS","Dieunomia Cockerell, 1899","BOLD:AFF0343","Arizona",NA,31.4567,-110.239,1995-08-24
"838",2986803399,"Andrenidae","Oxaea","Oxaea sp.","","GENUS","Oxaea Klug, 1807","Oxaea gloriosa","Arizona",1,32.006,-109.033,1995-08-27
"839",2979599522,"Apidae","Tetraloniella","Tetraloniella sp.","","GENUS","Tetraloniella Ashmead, 1900","BOLD:AAK2280","New Mexico",NA,32.0883,-108.879,1995-08-27
"840",3349101244,"Apidae","Eucera","Eucera sp.","","GENUS","Eucera Scopoli, 1770","Eucera eriocarpi","",NA,32.09,-108.88,1995-08-27
"841",1456587545,"Halictidae","Sphecodes","Sphecodes sp.","","GENUS","Sphecodes Latreille, 1804","Sphecodes species","Oregon",NA,42.416667,-120.616667,1995-08-31
"842",4439392663,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena obscuripennis||''||Smith","Florida",1,29.876307,-82.340173,1996-04-19
"843",658147334,"Megachilidae","Stelis","Stelis sp.","","GENUS","Stelis Panzer, 1806","Stelis (Dolichostelis) perparvus","Arizona",NA,32.15,-110.92,1996-04-21
"844",657765990,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada (ruficornis group) subrutila","New York",NA,40.7811,-73.7417,1996-04-24
"845",2429143084,"Halictidae","Lasioglossum","Lasioglossum sp.","","GENUS","Lasioglossum Curtis, 1833","Lassioglosum","Alabama",NA,NA,NA,1996-06-06
"846",1800597228,"Apidae","Thyreus","Thyreus sp.","","GENUS","Thyreus Panzer, 1806","Thyreus","Florida",1,28.3983,-81.5989,1996-07-17
"847",1570721334,"Halictidae","Sphecodogastra","Sphecodogastra sp.","","GENUS","Sphecodogastra Ashmead, 1899","Lasioglossum (Sphecodogastra)","Colorado",1,39.92989,-104.76009,1996-07-18
"848",3750307344,"Halictidae","Sphecodes","Sphecodes sp.","","GENUS","Sphecodes Latreille, 1804","","Vermont",1,44.733881,-71.749175,1996-10-26
"849",2248749204,"Megachilidae","Stelis","Stelis sp.","","UNRANKED","BOLD:AAG0315","BOLD:AAG0315","Idaho",NA,NA,NA,1997-07-21
"850",2249089268,"Halictidae","Lasioglossum","Lasioglossum sp.","","UNRANKED","BOLD:ABZ0652","BOLD:ABZ0652","Missouri",NA,37.0921,-91.0541,1998-03-29
"851",1456587581,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile species","New Mexico",NA,35.4536,-108.546467,1998-06-15
"852",2432202427,"Apidae","Melissodes","Melissodes sp.","","GENUS","Melissodes Latreille, 1829","Melisodes","Colorado",1,37.247983,-108.410846,1998-07-10
"853",1292026562,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Dialictus ruidosensis","Utah",NA,38.1075,-109.760833,1999-05-27
"854",1292026503,"Halictidae","Evylaeus","Evylaeus sp.","","GENUS","Evylaeus Robertson, 1902","Evylaeus pulveris","Utah",NA,38.1075,-109.760833,1999-05-27
"855",3017537589,"Colletidae","Hylaeus","Hylaeus sp.","","GENUS","Hylaeus Fabricius, 1793","Hylaeus Fabricius, 1793","",NA,46.3243,-93.1386,1999-06-11
"856",2249086287,"Halictidae","Lasioglossum","Lasioglossum sp.","","UNRANKED","BOLD:AAC1101","BOLD:AAC1101","Arizona",NA,NA,NA,1999-06-14
"857",2249090579,"Halictidae","Lasioglossum","Lasioglossum sp.","","UNRANKED","BOLD:ACF5350","BOLD:ACF5350","Utah",NA,NA,NA,1999-06-21
"858",2432204140,"Megachilidae","Osmia","Osmia sp.","","GENUS","Osmia Panzer, 1806","Osmia sp. 3","Colorado",1,37.257065,-108.409487,1999-06-27
"859",2432204343,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile sp. 1","Colorado",1,37.243289,-108.353952,1999-06-27
"860",2432204604,"Megachilidae","Osmia","Osmia sp.","","GENUS","Osmia Panzer, 1806","Osmia sp. 1","Colorado",4,37.277066,-108.485268,1999-06-28
"861",2432204433,"Megachilidae","Osmia","Osmia sp.","","GENUS","Osmia Panzer, 1806","Osmia sp. 4","Colorado",1,37.277066,-108.485268,1999-06-28
"862",2432204487,"Megachilidae","Osmia","Osmia sp.","","GENUS","Osmia Panzer, 1806","Osmia sp. 2","Colorado",1,37.277066,-108.485268,1999-06-28
"863",2432202336,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada sp. 2","Colorado",1,37.277066,-108.485268,1999-06-28
"864",2432202148,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile sp. 3","Colorado",1,37.277066,-108.485268,1999-06-28
"865",2432204384,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile sp. 4","Colorado",1,37.277066,-108.485268,1999-06-29
"866",2432205950,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile augustini","Colorado",1,37.201757,-108.480011,1999-06-29
"867",2432202790,"Halictidae","Sphecodes","Sphecodes sp.","","GENUS","Sphecodes Latreille, 1804","Sphecodes sp. 1","Colorado",1,37.243289,-108.353952,1999-07-27
"868",2432204546,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena sp. 2","Colorado",1,37.257065,-108.409487,1999-07-27
"869",2432202255,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena sp. 1","Colorado",1,37.257065,-108.409487,1999-07-27
"870",2432203869,"Halictidae","Lasioglossum","Lasioglossum sp.","","GENUS","Lasioglossum Curtis, 1833","Lasioglossum sp. 1","Colorado",1,37.277066,-108.485268,1999-07-28
"871",2432200884,"Colletidae","Hylaeus","Hylaeus sp.","","GENUS","Hylaeus Fabricius, 1793","Hylaeus sp. 2","Colorado",2,37.277066,-108.485268,1999-07-28
"872",2432202714,"Colletidae","Hylaeus","Hylaeus sp.","","GENUS","Hylaeus Fabricius, 1793","Hylaeus sp. 1","Colorado",2,37.277066,-108.485268,1999-07-28
"873",2432205051,"Halictidae","Lasioglossum","Lasioglossum sp.","","GENUS","Lasioglossum Curtis, 1833","Lasioglossum sp. 2","Colorado",1,37.277066,-108.485268,1999-07-28
"874",1065173494,"Apidae","Crustacea","Crustacea sp.","","GENUS","Crustacea","Crustacea sp. pm99-2","",1,54.55861,-150.39806,1999-07-29
"875",2432204034,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada sp. 3","Colorado",1,37.201757,-108.480011,1999-07-29
"876",1065173364,"Apidae","Crustacea","Crustacea sp.","","GENUS","Crustacea","Crustacea sp. pm99-3","",2,54.37917,-150.32306,1999-07-30
"877",1065173534,"Apidae","Crustacea","Crustacea sp.","","GENUS","Crustacea","Crustacea sp. pm99-1","",15,54.37917,-150.32306,1999-07-30
"878",2432204313,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile sp. 2","Colorado",1,37.257065,-108.409487,1999-08-06
"879",2432204917,"Apidae","Triepeolus","Triepeolus sp.","","GENUS","Triepeolus Robertson, 1901","Triepeolus sp. 1","Colorado",2,37.201757,-108.480011,1999-08-06
"880",2432205193,"Halictidae","Sphecodes","Sphecodes sp.","","GENUS","Sphecodes Latreille, 1804","Sphecodes sp. 2","Colorado",1,37.257065,-108.409487,1999-08-06
"881",724043577,"Andrenidae","Perdita","Perdita sp.","","GENUS","Perdita Smith, 1853","Perdita formiciformis","Texas",NA,29.2792,-103.0347,1999-08-23
